본문,label
"국고10년 금리 3.6%대 저가매수세가 지속된 가운데, 아시아증시 약세와 스왑베이시스 축소에 따라 채권시장은 강보합세를 보였다.",0
"미 국채금리는 입찰호조로 다시 하락세를 보였으며,옐렌 차기연준의장의 연설이 완화적 기조 유지로 해석되면서 장 마감후 10년물국채 수익률은 2.6%대로 하락하고 있다.",0
"미 국채 수익률이 60일 이평선을 하향한 만큰 국내시장도 스왑베이시스 축소, IRS리시브, 장기금리 하락으로 이어질전망이다.",0
양적완화 축소에 대한 우려와 외국인 선물매도 확대로 장기금리는 상승하였다.,1
"국고10년금리 3.6%대에서 저가매수세가 유입되었고, CRS금리 상승으로 채권약세 폭은 둔화되었다.",1
"예상하지 못한 단기충격 요인이 작용하였고, 주요 기술적 지지선이 지지된 점은 금리하락 둔화 요인이다.",0
"국채선물 시장미결제 감소로 인해 전환매 거래가 활발하였던것으로 보이며, 증권매수는 장단기 스프레드와 장기금리가 기술적 상단에 다가서는 상승세를 보이면서, 기존 스티프너 쪽의 포지션 정리와 저가매수로 볼 수있다.",1
"외국인 선물매도세와 함께 IRS금리도상승하며, 채권시장에는 수급 부담요인이 되었지만, 본드스왑 스프레드는 소폭축소되었다.",1
"주말_x000D_
변수를 앞두고 금리 상승속도의 조절이 예상되며, 10년물 금리는 60일_x000D_
이평선을 중심으로 한 매매공방이 예상된다.",1
달러금리 상승은 스왑베이시스 하락과 IRS커브 베어스티프닝으로 이어지면서 원화장기금리상승 요인으로 작용하였다.,1
"달러금리 상승세가 둔화된 가운데, 장기스왑베이시스는 기술적 하단에서 하락세가둔화되어 외국인발 수급의 변화 가능성을 나타내주고 있다.",0
"하지만 CRS금리가 부담스러운 수준으로 상승한 가운데, 달러금리도 상승하면서 역외 포지션은원화 듀레이션을 축소시켜야 했으며, 이에 따라 월말 외국인 수급력은 약화되었다.",1
"즉 스왑베이시스 축소가 상당부분 진행된 이후에는, 국내장기금리는 달러금리의 변동에 민감하게 반응할 가능성이 높아지게 된다.",1
"10년물 금리 오버슈팅 가능성이 높았던 가운데, IRS커브 플래트닝 압력이 강해지면서 국고10년 금리는 다시 3.3%대로 하락하였다.",0
장기스왑베이시스 상승과 함께 장기 스왑스프레드는 낮은 수준을 유지하고있어 외국인발 원화 장기채권 수요는 안정적인 것으로 판단된다.,1
"20년물 국고채 입찰은 금리레벨에 대한 부담이 작용하면서 헤지매도를 유인하였고, 막판 증시 강세로 장기금리가 상대적으로 큰폭 상승하였다.",1
FOMC 변수와 10월 고용지표에 대한 관망심리도 강해 금리 변동성이 축소되는양상을 보이고 있다.,1
최근 장기금리 하락세 속에 달러금리 하락 폭에 비해 장기구간 스왑마진이 높게 형성되면서 외국인 입장에서 원화채에 대한 가격 메리트가 낮아졌기 때문이다.,0
"즉 달러금리 하락세가 재개되기 전에는 스왑 시장발채권시장 강세요인은 나타나기 어려우며, 장기금리의 기술적 부담을 감안한 등락이 이어질 것이다.",0
"미 국채 10년물 수익률은2.51%로 하락하였으며, 주요 기술적 지지선은 2.48%이다.",0
"5월 양적완화 축소 가능성이 제기되기 이전의 지수가 80을 하회하는 수준이었으므로, 잠재된 장기채권 숏커버 물량도 남아있는 것으로 판단된다.",1
"즉 안전자산 금리의 하락과 리스크 프리미엄 하락이 동시에 작용하며, 원화금리 하락세도재개되고 있다.",0
하지만 장기현물금리의 하락강도는 상대적으로 약한 모습을 보이면서 스왑스프레드는 확대되었다.,1
"미 국채금리 상승으로 원화금리는 상대적으로낮은 수준인 것으로 평가할 수 있으며, 이에 따른 수급력 약화와 국내 장기투자기관들의 매수심리 위축으로 장기국고채 금리 상승 요인으로 작용하고 있다.",1
"아시아장에서 미 국채 10년물 수익률이 2.70%선으로 상승한 영향으로 외국인은국채선물 순매수세에서 매도로 전환하였으며, 국고10년 금리는 3.5%대로 상승하였다.",1
반면 FOMC 의사록을 통해 연내양적완화 축소 가능성이 높아진 점은 장기채권 시장의 불안요인이 되고 있다.,1
"지준일과 휴일, 금통위 변수가 맞물리면서 현물 채권 매매는 위축된 양상을 보였으며, 30년 국고채 입찰에 따른 부담으로 장기금리는 소폭 상승하였다.",1
"완화적 통화정책 기조가 지속될 가능성이 높아진 가운데, 달러약세에 따라 한국물 채권 투자선호는계속 양호하게 유지될 것이다.",0
"10년물 장기금리는 레벨부담이 작용하고 있었으며,최근 부채스왑이 약해지면서 장기금리 하락 압력도 이전보다 약화되고 있다.",1
"외인 선물세에도 불구하고 금리하락 압력이 크지 않았던 이유는 그동안부채스왑 위주의 장세에서 에셋스왑의 영향력이 점차 커졌으며, 스왑커브의 왜곡현상이 완화되는 과정이 진행된 것으로 볼 수 있다.",1
미 국채수익률 상승과 유로존에 대한 낙관적인 인식 등으로 역외 스왑페이가 강해지면서 국고채 금리는 장기물 중심으로 크게 상승하였다.,1
"휴일간 장기 미 국채수익률이 상승세를 보였던만큼 후폭풍이 이어질 것으로 보이며, 국고10년물 금리는 3.7%대에 진입 시도가 있을 것으로 예상된다.",1
"장기금리 상승을 긴축신호로 보기는 어렵다Fed의 긴축 우려로 장기금리는 불안한 등락을 보이고 있지만, 선진국 증시는 강세를 보이고 있어.",1
Fed가 양적완화 축소 가능성을 언급한 것은 이전과 달리 양적완화를 통한 유동성 공급과 유동성 창출 효과가 나타나고 있기 때문임.,0
즉 Fed의 자산매입 축소가 시중유동성 긴축으로 연결되기 보다는 시중유동성이 그만큼 풍부한 것으로 봐야 할 것임.장기채권에 대한 불안한 투자심리로 인해 자금의 단기화 양상이 뚜렷해지고 있어.,0
이격과 되돌림 수준을 고려한 한주간 국고10년 금리 하락 목표치는 3.08% 수준으로 설정한다.,0
"장중 외국인의 선물 순매수 확대로 채권시장은 강보합세를 보였으나, 변동성은 축소되는 양상이 지속되었다.",1
"국내금리도 되돌림 상승 가능성이 높다고 판단되며, 10년물 금리는 3%를 단기 상승목표치로 설정, 월말 리스크 관리에 주력한 대응이 필요",1
이탈리아 정국 불안으로 국고3년 금리는 사상 최저치로 하락.,0
장기물 대차잔고 축소 등으로 10년 금리는 2%대로 하락.,0
국내 채권시장도 커브 플래트닝 압력이 커지면서 5년 이상 장기금리 하락 요인으로 작용하게 될 전망.,0
외국인 선물매수와 2년 이하 구간의 현물 매입으로 국고3년 금리는 역대 최저 수준까지 하락.,0
"증시흐름도 비교적 견조한 편이고, 기술적으로 미 국채 수익률이 2%대로 다시 상승할 가능성이 높아.",1
외국인 선물 순매수 확대로 국고3년 금리는 다시 2.6%대로 하락.,0
외국인 국채선물 매도 반전으로 국고3년 금리 2.7%대로 상승.,1
외국인은 선물매수 확대 속에 국고3년 금리는 2.6%대로 역대 최저 수준으로 하락.,0
최근 시장은 금리 변동성 축소 속에 외국인 선물매매만 활발한 양상.,1
증시 강세와 스왑커브 스티프닝으로 장기금리 상승폭 커져.,1
"완화적 기조는 유지하더라도 금리 카드를 섣불리 꺼낼 유인은 없어 보이며, 2월 기준금리는 동결할 것으로 전망.변동성 축소와 10년물 미 국채 수익률이 2%선에서 저가매수 유입.",1
경쟁적인 양적완화로 풍부한 유동성 여건이 지속되면서 채권시장의 캐리장세가 진행되고 있어.,0
오히려 외국인 국채선물 순매수세 등으로 국고3년 금리는 2.70%선 근처로 하락.,0
충격 요인에도 불구하고 금리 변동성 위축과 대외금리 상승세 둔화되면서 캐리수요 유입되는 국면.,1
반면 CRS금리는 장중 하락세로 외화자금시장은 대외 리스크 요인을 더 크게 반영하는 모습.,0
국내 시장은 CRS금리 하락과 채권시장 강세 흐름.,0
다만 엔화약세 지속되면서 금리상승 압력도 완화되는 양상.,0
하지만 스왑베이시스 커브상 아직 실질적인 원화 익스포저 축소나 외화자금 흐름의 변화는 보이지 않아 금리 변동성은 작은 수준.,1
외환시장에 대한 우려가 제기 되었지만 CRS금리는 소폭 하락하며 시장의 직접적 영향은 크지 않아.,0
"에반스 룰을 적용하면, 내년 초까지 자산매입 지속되면서 $4조를 넘어설 전망.Fed 양적완화가 채권시장에 유동성 효과로 크게 작용하지는 않을 듯.",0
경험적으로 양적완화 초기에는 안전자산 선호심리를 약화시키며 국채수익률 상승 요인으로 작용.,0
장후반 기재부의 외화자금규제 관련 발언으로 장기금리 상승폭 커져.,1
FOMC 성명서 발표 전에 2%대 상승세를 보였던 미 국채수익률은 GDP 발표로 하락.,0
GDP는 마이너스 성장하였지만 평가는 나쁘지 않아 금리상승세 재개될 수 있어.,1
장기 스왑스프레드 상승폭이 확대되면서 5년 이상 현물금리 상승압력도 높은 편임.,1
금통위 의사록 공개와 지난 밤 대외금리 상승세를 감안해 채권 약세 인식의 대응.,1
국내 채권시장도 국고3년 2.7%선에 대한 부담과 재정증권 발행변수에 따라 금리상승 시도.,1
"12-3호 대차잔고 축소되고 있어 장기금리 상승압력 둔화 요인이나, 선물 저평 축소폭 둔화와 장단기 IRS금리 플래트닝 진정되는 점에 주목해야.",0
"BOJ회의에서 예상된 부양책이 원활히_x000D_
진행될 경우 중기 관점에서의 금리 상승 전망 유효하다는 판단임.",1
오히려 협상 진전에 따라 국내 금리도 상승압력을 더해갈 수 있어.,1
"외국인_x000D_
선물 매수세 이어지면서 채권시장 강세 지속.기준금리 동결,환율의_x000D_
상승 전환에도 외국인 순매수 지속되는 점은 동 요인의 변화가 외국인 순매수의 주 원인이 아님을 보여줘.",1
"CRS금리의_x000D_
상승전환이 본격화될 경우 국내 커브도 베어리시 스티프닝으로 전환될 가능성 존재하기 때문.한편,원달러 환율1,060원선 하회 여부가 기준금리 인하기대를 변화_x000D_
시킬수 있는 요인으로, CRS와 환율등 외환관련 가격지표에 주목해야 할 것임.",0
"외국인 선물 대량매수의 영향력은 지속되기 어려워연초 대외금리는 상승세를 보이고 있는 반면, 국내 채권 수익률은 하락하고 있어.",1
외국인 선물매수와 함께 듀레이션 축소한 기관에서 숏커버성 매수가 유입되며 장기금리 하락세.외국인 선물매수는 기준금리 인하 기대 만으로는 설명되기 어려워.,0
장기 CRS가 낮은 수준을 유지하면서 장기물 익스포저 확대 시도도 지속될 전망.하지만 대외금리 커브는 스티프닝 양상을 지속하고 있어 장기금리 하락은 천천히 진행될 것임.,0
다만 장기채권 강세 폭이 커지려면 미 국채 등 대외금리 하락이 선행되어야 함.,0
"외국인의3년선물 매도 전환과 함께 커브 플래트닝 진행.커브의 변화는 최근금리하락_x000D_
요인이 기준금리 인하기대가 아니었음을 보여줘.",0
"새해_x000D_
외국인 선물매수 확대된 가눙데 연말 듀레이션 축소했던 쪽의 숏커버 물량 유입으로 채권시장은 강세.",1
금리 하락폭은 크지 않아 완만하게 저점을 높이는 레인지 지속.,0
"외국인의1.8만계약 넘는 선물 순매도로_x000D_
금리상승세.유로존CDS와 스왑베이시스 등 리스크 관련_x000D_
지표 개선되는 영향이 국내 시장에도 반영되고 있어.반면 원달러 스왑포인트는 외화 자금여건은 수급,정책적 요인으로 하락세 지속.이는 채권시장 수급 약화 요인으로_x000D_
작용하는 가운데,월말 경기지표 개선시 금리 상승압력 커질 수 있는 상황.",1
"26일 그리스지원 여부 해결될 가능성도 있어,리스크온 분위기는_x000D_
지속될 것으로 보임.국고3년2.8%대 상승세 이어질 것으로 보이며,금리 상승 폭표치는2.90%선까지 설정한 대응.",1
"CRS금리는 4년 이상 장기물 위주로 하락, 스왑베이시스 확대에 따른 선물매도 유인.",0
"옵션 볼값 낮은 수준 유지하고 있고, 스왑금리 하락세 진정된 점도 장기금리 하방경직 요인으로 작용할 듯.",1
"재정절벽 해결 기대와_x000D_
그리스 지원 가능성 높아지면서,리스크 관련 변수 전환 중.유로달러_x000D_
스왑베이시스 반등,국내는FX스왑포인트 상승 전환.에셋스왑 요인으로 장기CRS금리 하락했지만CDS프리미엄 대비 낙폭 과다한 것으로 인식되고 있어.스왑발 금리하락_x000D_
요인 약화된 가운데,대내외 증시 강세에 따른 채권약세 전망.다만_x000D_
아직 변동성 확대 요인은 크지 않은 편으로 국고3년2.8%대에서_x000D_
저가매수세 유입 양상 기대.오후 유로존 리스크 향방에 따라 변동성 확대 여지 가늠할 수 있을 것임.",0
CRS금리 하락압력 지속되면서 현물채권보다는 대체투자에 대한 수요가 보다더관심을 받을 전망.,0
"미 국채시장 휴장이지만 독일국채10년 수익률은 상승채널 하단을하향돌파해, 국내시장도 강세 인식이 좀더 강해질 전망.",1
"3분기와 달라진 경제환경에 대한 영향은 기대지표를_x000D_
통해 확인할 수 있을 것임.기술적으로 금리 상승 가능성은 열려있어,지표는3Q GDP보다는 이번주와 다음주에 발표되는 소비자신뢰지수가 주목됨.",1
스페인발 리스크 완화움직임에 채권시장 약세 지속.,0
"3년 금리_x000D_
하향채널 상단2.85%선 단기저항선으로 이선을 돌파시 금리는 중기 상승국면에 진입한 것으로 볼수 있음.",1
기준금리 인하 후 5년 이하 국채금리는 3bp 상승.,0
스왑베이시스가7월과 달리 하락 국면으로 전환되고 있어 스왑발 매수세도 이전보다 약화될 전망.금리레벨과 수급 구조를 감안해 강세폭은 작게 기대한 대응 필요할 것임.,0
단기 FX스왑포인트는 상승세를 보이면서 단기금리 하락에 대한 기대가 약화되고 있는 점도 유의해야 할 것임.,1
"국고3년 2.75%를 하단, 금리 상승 1차 목표치는 2.80%선이 될 전망.",1
외국인의 현선물 매수움직임이 지속되면서 국고채 금리는 사상 최저치까지 하락.,0
10월 기준금리 인하를 염두한 포지션으로 본드스왑스프레드는 하락 움직임.,0
금일은 대외여건의 개선에 따라 금리상승 전환이 전망되나 기준금리와 관련한 포지션 구축이 지속되고 있어 상대적으로 금리움직임 폭은 제한적일 전망임.,1
다만 3년 이내 구간은 이미 금리인하를 선반영한 수준인 만큼 장기물 금리 하락압력이 장세 탄력에 중요해.,0
스페인의 예산감축안 발표로 6%대로 상승하였던 스페인 10년물 국채금리는 하루만에 5%대로 하락.,0
"미 국채 10년물 수익률 기술적 지지선 하회하면서, 국고3년 금리도 2.7%대로 하락 전망.",0
캐리수요도 가세하면서 금리하락 압력 커지지만 금리수준에 대한 부담은 지속되어 국고3년 2.77%에서 하락세 진정될 전망.,0
"스페인 장기국채 입찰은 성공적이었지만, 입찰 후 유통수익률은 상승하면서 우려가 남아있는 점을 반영.",1
국내시장도 환율 상승과 장기CRS 금리 하락으로 QE3 발표 이후의 낙관적이었던 국제금융시장의 기대가 변하고 있는 상황을 반영하고 있어.,0
"다만 밤사이 국제금융시장 변수의 변동이 크지 않았던 편이고, 국고3년 금리는 기술적 하단에 다가서고 있어 금리 하락세 둔화될 전망.",1
스왑금리는 큰 움직임은 아니었지만 리스크온 분위기를 반영하며 상승.,1
최근 CRS금리 급등에 따른 부담이 있지만 달러와 엔화 유동성 공급에 따라 원화의 강세와 CRS금리의 추가적인 상승가능성이 더 높다는 판단임.,1
스왑세이시스 상승 전망에 따른 역외자금 유입이 금리의 추가상승 움직임을 제한시키는 요인이 될 전망임.,0
"10년, 20년물 금리 상승 속에 30년 금리는 상대적으로 낮은 수준.",1
"지난주 인플레이션 우려로 미 국채 수익률 급등하며, 30년물 금리 3%대 상승.",1
"국내시장은 기준금리 인하 가능성을 단기 CRS시장에서 선반영하면서, CRS금리 하락과 IRS 금리 하락 요인으로 작용하고 있어.",0
수급호전과 관성적인 매수 마인드 속에 국고3년 금리는 20일 이평선에서 상승세 둔화.,0
장기CRS 하락과 함께 장기금리 하락폭 커져.,0
"국고3년 2.7%대 진입시 듀레이션 축소 대응을, 금리 상단은 2.85~2.88%가 저가매수 영역이 될 것임.",1
"2분기에는 반기말 자금 리스크에 대한 대응이 있었으나, 유동성 충격이 가시화되지 않아 채권시장은 우호적인 수급 환경이 지속되었음.7월 기준금리 인하와 단기금리 하락으로 IRS커브 플래트닝 심화.",0
8월 금리 동결 후에는 단기금리 하락 둔화로 스왑커브에 대한 부담 증가.,0
이번 장단기 CRS금리 역전은 원화 채권 비중 축소의 신호탄으로 볼 수 있어.,1
대외리스크의 완화 움직임이 빠르게 진행되면서 국내 채권시장도 약세 지속.,1
밸류에이션 재평가와 베이시스 확대에 따른 손절물량에 따라 빠른 금리상승 진행된 것으로 판단.,1
기술적으로 국고3년 2.97% 상향시 3%대 진입 가능성 높지만 장기물 베이시스 확대 진정된다면 금리 상승세도 진정될 것으로 전망.,0
장기 스왑베이시스 확대 진정된다면 금리 상승세도 둔화될 것임.,0
스왑베이시스 상승 기대에 따른 CRS pay포지션 유입은 원화 약세에도 불구하고 CRS금리를 상승시킴.,1
대외 리스크의 지속에 따른 추가 적 IRS하락과 기준금리 인하 기대감이 커질 수 있는 상황임.ECB희의에서의 실망감- IRS금리의 하락에 따른 채권시장 강세 지속- ECB 대책에 대한 실망감으로 IRS금리 추가적 하락 가능,0
"기술적 저항에 부딪힌 선물시장- 장초반 강세를 보였던 채권시장은 전일 고점이었던 3년물 106.12, 5년물 116.29 부근에서 다시 하락하는 모습.",0
양적 완화 언급이 없었던 것은 채권시장 약세 요인이나 시장은 ECB회의에 더 큰 기대를 했던 만큼 강한 움직임을 기대하기는 힘들 것임.,1
"오히려 ECB회의가 실망스러울 경우 다시 강세전환할 가능성 높아.- 두달연속 기준금리 인하를 단행할 가능성은 여전히 낮다는 의견이지만, 소비자 물가상승률이 1.5%로 예상보다 크게 낮아지면서 금통위에서의 금리인하 기대감도 높아질 것임.",0
주식시장의 외국인 매수세에 약세 반전- 장중 IRS금리의 상승 전환과 함께 채권시장은 약세로 전환하는 모습.,1
시장은 양적완화까지 기대하지는 않는 모습으로 제로금리기간의 연장 정도의 발표여도 시장의 실망감은 크지 않을 것임.,1
IRS의 상승에도 금리는 하락 전환- 대외 여건에 영향을 받아 약세로 시작했던 채권시장은 상승 반전하는 모습을 보임.,0
얼마전 유로존 구제를 위해 모든 조치를 취할 것이라는 ECB총재의 의지가 얼마나 실행될 것인지가 주목되는 상황임.대외리스크 완화에도 금리 하락 전환- 스왑베이시스 하락에 대응한 선물매수 가능성- ECB회의에서의 경기부양책 강도가 중요,0
리스크의 완화는 IRS금리의 오버슈팅 해소로 이어질 것임.,0
스왑스프레드의 정상화 진행된다면 국고3년 금리는 3%대로 상승할 가능성도 높아 보임.대외여건 개선으로 금리 상승 전환오버슈팅도된 스왑금리의 정상화로 금리 상승 움직임스왑스프레드 정상화시 국고금리 3%까지 상승 전망,1
이후 7월 금리 인하시 추가로 2번 이상의 금리 인하를 반영한 수준으로 스왑포인트 하락.,0
"즉 실제 자금 흐름과 달리 단기 스왑포인트의 하락세가 진행되고 있으며, 이는 국내 단기금리 하락과 내외금리차 축소를 기대한 움직임으로 판단됨.이미 금리 인하를 선반영한 단기 스왑포인트는 금통위회의 이후에 변화가 진행될 것임.",0
"즉, 단기 스왑포인트 상승 → CRS커브 플래트닝 전환으로 이어진다면 이자율 시장에서는 기존의 Long듀레이션의 처분 움직임이 빨라질 것임.트리거는 FX시장에서!FX단기스왑포인트는 금리인하를 반영, 이에 따른 CRS 커브 스티프닝, 외국인의 매수세 확대기준금리 결정과 상관없이 스왑포인트 상승시 포지션 전환 움직임 빨라질 것임.",1
환율 상승하는 모습이었지만 CRS금리는 하락하지 않음.,1
"펀더멘털의 악화는 추세형성 요인그동안 스페인 이슈는 CDS의 상승이나 국채입찰 부진, 국고채 금리의 상승같은 금융시장 자격의 변화에 따라 일어남.",1
"다만, 그동안 실시된 LTR O 등 경기부양책들과 EC B의 채권 직매입 가능성, Fed 의 Q E3가능성등의 요인에 의해 금리가 전저점 수준으로 하락할 가능성은 낮다고 판단함.",1
단순 캐리트레이딩에 집중할 여력은 없음2차 LTRO유동성 기대는 낮게 그러나 나쁠 것도 없다: 1차 LTRO로 CRS 커브 역전이 다소 완화되면서 외국인 국채선물 순매도가 금리를 상승시킴.,1
펀더멘털이 점차 회복되는 3분기 금리인상 시도할 것으로 전망,1
"저성장에 따른 유동성 확장은 금리를 하락시키는 요인이 될 것이나, 금융위기 이후 전개된 경제현상은 차별화된 양상을 보이고 있습니다.",0
자금 여건의 질적인 변화가 진행된다면 장기국채수익률 상승도 불가피합니다,1
따라서 국내 채권시장의 변화가 진행된다면 장기 CRS와 장기금리 상승이 먼저 선행될 것입니다.,1
그나마 캐리수익을 얻을 수 있는 장기물도 거시환경이 긍정적으로 변화한다면 금리상승의 리스크가 높은 상황.따라서 단기물이 자금의 환류와 함께 수요가 증가함.,1
그러나 국내 증시의 강세에도 통안채가 상대적으로 강해지면서 금리 상승폭은 크지 않았음.주식이 강세를 보이는 가운데 채권시장은 정체된 모습을 보임.,1
더불어 VIX 지수의 하락으로 변동성 축소에 따른 장기물 금리 하락에 대한 기대가 높아질 수도 있어.그러나 장기금리 하락보다는 단기금리 상승을 통한 커브 플래트닝 가능성 높아.,1
그리고 빠른 경제회복과 함께 기준금리도 하반기 한 차례 인상을 전망합니다.Episode4 - Carry Trading 시대: 내년도 채권시장 수급구조에 주목하는 이유는 투자은행의 활동 위축과 디레버리징의 가능성이 제기되고 있기 때문입니다.,1
주식과 채권증시는 강세를 이어갔지만 외국인 자금 이탈에 대한 우려감이 완화되면서 매수심리 살아나면서 채권금리는 소폭 하락함.,0
단기물 금리 상승세 이어진다면 기관자금 집행 미뤄질 수도 있을 것.,1
동시에 최근 외국인 수급에 대한 붕란 이어지고 있는데 CRS 금리 상승하고 있는데 외화자금 수요가 크지 않는 다는 의미.,1
장기물 불안과 외국인 수급불안환율 상승과 함께 외국인 자금유출설로 인해 금리 상승.,1
이는 외화자금과 관련된 원화채권의 매칭수요가 감소한다는 것이기도 함실제로 11월 들어 환율은 지속적으로 상승하고 있으나 CRS 금리는 월초 이후 정체된 흐름 보이고 있어.,1
장기물의 주 수요처인 보험회사의 장기물 국채수요 11월 급격히 감소한 것을 감안할 경우 20년 입찰 부진은 장기물 금리 상승으로 이어지면서 전반적으로 약세분위기로 전환될 가능성 높아.,1
금리 상승 시 매수로 접근하기 보다는 리스크 요인 확인하면서 대응해야 할 것.리스크 확산기에는 자금여건을 주목12월 외국인 만기 재투자 여부 확인하면서 보수적인 접근이 바람직 할 것보험권 최근 장기물 수요 약화되고 있어 20년물 입찰이 장세를 결정할 것,1
장기물 매입강도에 따라 3년물금리 3% 대 초반 안착 가능성 타진하게 될 듯.다만 장단기 스프레드 축소 여지는 크지 않아.,1
환율과 채권시장의 일관적이지 않은 흐름을 주목해 보면일반적으로 원달러 환율 상승은 자금 유출과 원화가치 하락으로 원화채권의 약세 요인이다.,0
현재 가능성이 가장 높을 것으로 전망됨3) 기준금리인하 시사: 금리 하락세가 이어질 것.,0
그러나 현재의 기준금리가 여전히 완화적이라는 과거 총재의 발언을 감안할 경우 인하의 가능성은 현재 그리 높지 않음.,1
대외금리의 상승영향으로 채권시장은 약세를 보였지만 주식하락과 외국인 투자자들의 선물매수로 인해 강세로 전환.,1
금리가 이전 저점 수준으로 근접하자 금리하락은 둔화된 모습.이탈리아의 정치적 불안에서 비롯된 구제금융 가능성으로 국채 수익률이 급등.,0
따라서 전저점에 근접할 수록 금리 하락강도는 둔화될 것으로 전망됨.,1
국내채권시장은 국채금리는 3.3%대에 안착한다면 이전 저점까지 하락 시도 있을 것.,0
유로존 부채위기 해결에 대한 기대감 증가하며 증시는 강세 반면 채권금리는 상승함.,1
환시장 안정에도 불구하고 대외금리 상승세 이어진다면 국내 국채시장도 보수적 접근.,1
반면 중장기 적으로 외국인 이탈 본격화 되거나 그리스 문제가 실마리를 찾는 예상가능한 시나리오는 모두 금리 상승으로 귀결될 것임.,1
그러나 환율의 하락이 채권시장의 강세로 연결되기는 쉽지 않을 것이다.,0
금융시장의 안정은 다시금 위험자산에 대한 선호를 증가시킬 것이므로 채권금리의 상승압력이 오히려 높아 질 수 있을 것이다.외국인 수급과 위험자산의 선호 증가스왑베이시스 확대 가격메리트에 부상 2년 구간 수급이 장세에 큰 영향 미칠 듯독일 EFSF 승인 금융시장 안정으로 연결 이는 위험자산에 대한 선호를 증가시킬 것,1
특히 가격메리트가 가장 높은 통안채 2년물을 주로 매수하였다.금일 채권금리는 전일 상승에 따라 하락시도를 할 것으로 전망된다.,0
"실제 자금경색이 진행되지 않는다면 이러한 포지션은 길게 유지될 가능성이 낮다.외화자금 경색 완화는 채권 수급에 호재이나, 채권시장에 충격이 미미했던 만큼 강한 금리 하락 요인이 되지 못할 것이다.",0
"헤알화 약세의 원인중 하나는 기준금리 인하도 기인하는데, 금리 인하는 채권가 격을 상승시키며 손실을 상쇄합니다.",0
환율 하락하면서 금리 하락자금경색 이슈가 소멸되면서 채권시장은 환율의 하락으로 강세를 보임.,0
환율 하락과 함께 외국인 선물의 매수가 이어지며 금리하락.일단 국내의 경우 불안 요소로 여겨졌던 환율은 일단 진정세를 보일것으로 전망됨.,0
금통위 정책스탠스 완화금통위에서는 기준금리 동결.,0
만약 인플레이션에 대한 우려감을 내비치면서 금리 인상 여지를 남겨둔다면 시중금리는 상승세를 이어갈 것.,1
그렇다면 금리는 당분간 의미있는 상승을 하지 못할 것으로 보임.금통위 기준금리 동결 가능성 높아 향후 정책스탠스에 주목인상여지 남겨둔다면 금리 큰 폭으로 상승할 것반면 대외변수를 부각시키며 향후 인상 가능성 낮아지면 의미 있는 변화는 없을 것,1
"외국인 순매수에 따른 선물 강세는 3,5년 현물금리 위주로 금리 하락세를 이끌어.스왑베이시스는 다시 확대되는 모습을 보였는데, CRS금리 하락은 부채스왑 물량이 일부 처리되었기 때문임.",0
추가 물량이 나올 가능성 높아 CRS금리 다시 상승할 전망.,1
채권금리가 과도하게 움직였던 측면이 있어 IRS금리 상승과 함께 스왑베이시스 다시 축소될 전망임.,1
양호한 자금유입의 지속은 축소된 베이시스를 유지시키는 요인이 될 것임.현물시장의 과도한 반응 경계시장충격 대비 과도한 반응은 금리상승 되돌림을 유발할 것스왑베이시스 확대된 모습도 축소 전환될 가능성 높아,1
국채 20년물 입찰은 장기금리를 상승시키며 일드커브를 가파르게 만듬.,1
"증시에 연동된 채권시장, 하지만 상대적으로 작은 변동폭장기금리는 주가에 민감하게 반응하였지만 단기금리의 하락폭은 제한되면서 플래트닝에 대한 부담감 늘어가고 있는 상황임.",1
경제위기 부각으로 기준금리 인상이 다소 늦춰질 수 있지만 이는 인상에 대한 타이밍을 조율하는 시기로 급격한 자본유출 없다면 기준금리 인하시기는 아닌 것으로 판단CRS금리 하락하면서 스왑베이시스 확대.,1
단기물 금리가 하락하지 못한다면 장기물에 대한 강세도 제한될 것으로 전망됨.,0
"국고3년 3.45~3.60%, 국고5년 3.60~3.80%단기물 금리하락 없이는 장기물 강세도 제한될 것은행의 자금조달 상황 악화는 채권시장 변동성 확대 요인국고3년 3.45~3.60%, 국고5년 3.60~3.80%",0
CRS 상승 → IRS 상승 → 채권금리 상승전일 채권시장은 주식시장의 영향을 받으면서 약세로 마감.,1
통안2년물의 금리 상승이 두드러지는 모습.,1
금리의 절대적인 수준이 낮아지면서 매물이 출회 된 것으로 판단됨부채스왑 관련하여 장기CRS가 급등하면서 스왑베이시스는 축소.,1
국내 금리의 수준은 낮지만 대외 유동성 유입이 지속된다면 금리 상승을 제한 될 수도그러나 CD금리에 대한 부담으로 IRS 금리 상승 가능성이 높아 본드-스왑스프레드 지속적으로 축소된다면 장기물에 대한 매력도 낮아지면서 채권수익률 곡선 스트프닝이 전망됨 상황CRS 상승 → IRS 상승 → 채권금리 상승스왑베이시스 축소되었지만 외국인 입장에서 2년 구간의 매력도는 여전히 높아CD금리에 대한 부담으로 IRS 영향받으며 현물 금리 상승 가능성 높아,1
"정상화 기대되나 수급구조의 변화는 불가피- 증시 낙폭 진정되면서 국고3년 금리 하락 진정, 3.5%대에서 금리 하락강도 약화될 것임.",1
증시 하락 지속되면서 국내 채권시장도 강세 유인 부각될 수 밖에 없어.,0
